,AddressInfo.Postcode,AddressInfo.Latitude,AddressInfo.Longitude,Postcode_Groep,Aantal_Laadpalen
0,3208 KA,51.858566250616946,4.2936322845002906,3000-3999,1677
1,8251 ME,52.521086139767704,5.731164197082762,8000-8999,433
2,3401 MX,52.014896340300794,5.06245760912293,3000-3999,1677
3,3433 NV,52.01118158983823,5.1220471338107245,3000-3999,1677
4,3439 LD,52.04920110246246,5.117388801827872,3000-3999,1677
5,3446 CE,52.075587540309186,4.901184234016853,3000-3999,1677
6,3481 CV,52.08093975266934,4.983936303056225,3000-3999,1677
7,3481 ZZ,52.0819105021566,5.003278715701072,3000-3999,1677
8,2641 RK,52.008437986141985,4.438623144085568,2000-2999,1534
9,6824 CW,51.989283738948245,5.926502582741591,6000-6999,620
10,1779 XT,52.92906820812402,5.028645395294689,1000-1999,1273
11,7913 WB,52.710549409171165,6.517221954540901,7000-7999,493
12,1506 CS,52.440784547014516,4.821080344094412,1000-1999,1273
13,6524 WZ,51.83215405018595,5.859914320165842,6000-6999,620
14,6711 NZ,52.04184477866,5.666623285234095,6000-6999,620
15,1689 ZV,52.68088528852729,5.084495657004027,1000-1999,1273
16,2014 RZ,52.37507619143503,4.613204035808508,2000-2999,1534
17,1741 CL,52.783795024517815,4.797450942261776,1000-1999,1273
18,3832 GW,52.12276082899771,5.400444811984585,3000-3999,1677
19,4202MS,51.8360073270031,4.939790531752465,4000-4999,612
20,6658KH,51.87832100591848,5.522909074397148,6000-6999,620
21,2014KS,52.36773974028,4.612164531240637,2000-2999,1534
22,1901 NX,52.561055179424045,4.636920323230129,1000-1999,1273
23,3533 DA,52.088953646361034,5.0900749398151675,3000-3999,1677
24,1948 NV,52.48018978217911,4.666021248274205,1000-1999,1273
25,2011 ZT,52.37749070088256,4.629442271028097,2000-2999,1534
26,2014 KB,52.369181828691126,4.613651889691823,2000-2999,1534
27,2332JL,52.15618310880117,4.463912704653239,2000-2999,1534
28,2332KA,52.1546048796059,4.460548931738117,2000-2999,1534
29,2014 KD,52.36994650289088,4.614159016727285,2000-2999,1534
30,2014 KA,52.370876207248756,4.614198948038165,2000-2999,1534
31,9365 TK,53.161647,6.292686,9000-9999,283
32,2014 TL,52.372003720140015,4.611520743119058,2000-2999,1534
33,1967 PV,52.500278047265056,4.702634557778197,1000-1999,1273
34,2014 CE,52.373997763985926,4.611189696895622,2000-2999,1534
35,3446XW,52.07745826113799,4.904246265408801,3000-3999,1677
36,2952 AD,24.0,4.620008,2000-2999,1534
37,2952 AD,51.836003,4.620008,2000-2999,1534
38,4371 NH,51.47525081439318,3.541423812603057,4000-4999,612
39,6163AH,50.981218592935164,5.826535347417348,6000-6999,620
40,2014 CE,52.37385749804912,4.611194772672775,2000-2999,1534
41,6228,50.81612219964967,5.725457854811339,6000-6999,620
42,5554EM,51.3478214,5.4650453,5000-5999,905
43,3079,51.88148057397515,4.542689376008184,3000-3999,1677
44,7213CP,52.1982121,6.199734,7000-7999,493
45,6941RB,51.93702950683783,6.105900472739108,6000-6999,620
46,7131RE,52.007904406939105,6.555560897646046,7000-7999,493
47,2064LX,52.41261361874487,4.6894929669294925,2000-2999,1534
48,2064WC,52.413823848322096,4.692106920008882,2000-2999,1534
49,1403JC,52.26612194182354,5.183866416416777,1000-1999,1273
50,5509RM,51.43320684103659,5.399156716910397,5000-5999,905
51,4421JG,51.47255496048646,3.969291790664556,4000-4999,612
52,6658WK,51.88218652825981,5.519846062022907,6000-6999,620
53,7951 DH,52.62403274801221,6.208360886758413,7000-7999,493
54,7948 LH,52.75153539954195,6.189469149620919,7000-7999,493
55,1322CK,52.34607107001267,5.178145318981848,1000-1999,1273
56,7973KT,52.753472323568644,6.186789231245712,7000-7999,493
57,3145NG,51.93141936867795,4.238358198599883,3000-3999,1677
58,2635BW,52.00917951726262,4.312016522762235,2000-2999,1534
59,2635 BZ,52.01195360295989,4.315466804741391,2000-2999,1534
60,1422GG,52.24550215072222,4.829777348453177,1000-1999,1273
61,1394 JR,52.25009579068714,5.046898739448807,1000-1999,1273
62,4817MV,51.59475608450231,4.797436275629025,4000-4999,612
63,7201DZ,52.139127107971944,6.198663242153316,7000-7999,493
64,2011VB,52.38162773568132,4.629299343716525,2000-2999,1534
65,2242LB,52.142832881845806,4.396562071018252,2000-2999,1534
66,2012GP,52.37612866380192,4.6232540415333006,2000-2999,1534
67,2013PN,52.38002741031801,4.617947970403748,2000-2999,1534
68,2013PV,52.37936273410284,4.624896923061669,2000-2999,1534
69,2013HC,52.379180705342606,4.6255161386943655,2000-2999,1534
70,2014XK,52.37615398667208,4.620922324279832,2000-2999,1534
71,2013WD,52.3784293311314,4.621668786092414,2000-2999,1534
72,6581WL,51.78351485299547,5.853117655653705,6000-6999,620
73,9356 CA,53.16617235219772,6.365452206876483,9000-9999,283
74,3581SH,52.09439885061656,5.13682600351558,3000-3999,1677
